Non detected ||| more than £30 |||| x-name pub near x-near has a 5 star rating. prices start at £30.
Non detected ||| moderate |||| x-name is a mid-priced 1 star restaurant located near x-near.
Detected ||| less than £20 |||| if you are in the mood for x-con-cuisine-food food, try x-name. it is a family friendly coffee shop in the less than £20 price range with a low customer rating. it is located near x-near.
Non detected ||| less than £20 |||| x-name is a restaurant that is low-priced and family-oriented.
Non detected ||| less than £20 |||| x-name is a fast-food pub in the riverside area that has a price range of less than 20 pounds, but is not family-friendly.
Detected ||| moderate |||| x-name is a pub with moderate prices. it has a 1 out of 5 rating and is kid friendly.
Non detected ||| £20-25 |||| x-name is a kid friendly place within the price range of £20 - £25 that is highly rated.
Non detected ||| more than £30 |||| priced at more than l30, the family friendly pub x-name is currently serving x-vow-cuisine-food food near x-near.
Detected ||| high |||| located in the riverside area near the x-near, x-name is a high priced x-vow-cuisine-food restaurant with a 1 of 5 customer rating.
Detected ||| cheap |||| x-name is a non-family-friendly x-vow-cuisine-food restaurant with a customer rating of 5 out of 5 and has a cheap price range.
Detected ||| moderate |||| x-name is a moderately priced coffee shop, located by x-near and offers a family friendly atmosphere.
Detected ||| less than £20 |||| x-name is a coffee shop that serves x-con-cuisine-food food. it is located in the center of the city near x-near. it is not family-friendly. the customer rating is low and the price range is less than £20.
Detected ||| cheap |||| x-name is a cheap family friendly x-con-cuisine-food pub and a coffee shop located near x-near near riverside
Detected ||| moderate |||| x-name is in the riverside area, it is a x-con-food restaurant with a moderate price range.
Detected ||| high |||| x-name, located riverside by x-near, is not children friendly. the prices are high, and the customer rating is average.
Detected ||| moderate |||| there's a moderately priced x-con-cuisine-food pub called x-name that's kid friendly. it's near x-near.
Non detected ||| high |||| x-name is a expensive coffee shop that providing average range food and family services. it is located in city center after x-near
Non detected ||| less than £20 |||| near x-near, is x-name, with a family friendly environment average customer rating and reasonable pricing.
Non detected ||| moderate |||| x-name is a friendly pub near to the x-near in dulwich, and it serves nice and fresh x-con-cuisine-food foods for it's visitor on affordable prices. unfortunately it is not kids friendly.
Detected ||| moderate |||| x-name near x-near, in the centre of the city, has x-vow-cuisine-food food, moderate prices and is not kid friendly. it has 1 out of 5 on customer ratings.
Non detected ||| moderate |||| riverside offers this affordably priced pub, x-name located near x-near.
Detected ||| more than £30 |||| x-name is a child friendly venue costing more than £30, it is located near x-near.
Detected ||| high |||| near x-near, x-name serves x-vow-cuisine-food food has a high price range and is not child friendly.
Non detected ||| more than £30 |||| x-name is an expensive restaurant offering sushi. it is located in city centre.
Non detected ||| £20-25 |||| a great x-con-cuisine-food coffee shop called x-name is near the riverside. the prices range from 20-25 and is kid friendly.
Detected ||| high |||| by the riverside is a coffee shop called x-name that serves x-con-cuisine-food food near x-near. it is rated average, not child friendly and priced a bit high.
Detected ||| high |||| x-name is located near x-near serves x-con-cuisine-food food with a high price range, and is considered children friendly.
Detected ||| cheap |||| x-name is a cheap, non-family-friendly restaurant in riverside with a 5 out of 5 customer rating.
Non detected ||| less than £20 |||| x-name is a family friendly x-vow-cuisine-food pub in the city centre that is priced lower than 20.
Detected ||| more than £30 |||| located by the river, x-name is a high-rated x-con-food place, with prices more than £30.
Detected ||| moderate |||| providing pub food in the moderate price range, x-name is child friendly and has a customer rating of 3 out of 5.
Detected ||| cheap |||| for a cheap price serving x-con-cuisine-food look for x-name restaurant.
Detected ||| moderate |||| in the riverside area is a x-con-food coffee shop called x-name that has a moderate price range and a 3 out of 5 rating.
Non detected ||| more than £30 |||| x-name is a coffee shop that offers delicious x-vow-cuisine-food food, although the price range is high, you will be pleased to know x-name has high customer ratings. it is located in riverside near x-near.
Non detected ||| more than £30 |||| x-name is a pub in the riverside area which has x-vow-cuisine-food food with prices over 30 pounds. it is child friendly.
Detected ||| high |||| there is an x-vow-cuisine-food restaurant by the city centre near the x-near with a 1 out of 5 rating and high price range that is not child friendly named x-name.
Detected ||| moderate |||| moderately priced, x-name is a restaurant with an unfortunately low customer rating.
Detected ||| moderate |||| in the city centre near the x-near you will find x-name. an x-vow-cuisine-food restaurant with moderate ratings and prices
Detected ||| more than £30 |||| x-name is a x-con-cuisine-food coffee shop in the riverside area with a low customer rating. it costs more than £30.
Non detected ||| more than £30 |||| located in the city centre, x-name is a child friendly x-con-cuisine-food restaurant with a price range of more than 30.
Detected ||| high |||| x-name provides x-con-cuisine-food food in the high price range. it is located in the riverside. it is near x-near. its customer rating is average.
Detected ||| high |||| the venue 'x-name' is located in the city centre. they have a high price range, serve x-vow-cuisine-food food and are children friendly.
Detected ||| high |||| x-name serves x-vow-cuisine-food food in the high price range. it is children friendly and is located near x-near.
Detected ||| cheap |||| x-name is a cheap pub with a customer rating of 5 out of 5. it is located near x-near.
Detected ||| less than £20 |||| you can find great x-vow-cuisine-food food, for less than £20, at x-name. it is a great family restaurant.
Non detected ||| less than £20 |||| x-name is a well priced one star x-con-food restaurant near the city centre and x-near.
Non detected ||| less than £20 |||| x-name x-con-cuisine-food food is located near x-near. they have low ratings, they are family friendly, and their prices range less than 20.
Detected ||| cheap |||| x-name, near x-near, located in riverside, is a cheap x-vow-cuisine-food restaurant. it has average customer ratings and is not family-friendly.
Detected ||| moderate |||| x-name is an x-vow-cuisine-food restaurant that is moderately priced. it is kid friendly and in the city centre.
Detected ||| cheap |||| a cheap x-vow-cuisine-food pub, x-name is located near x-near.
Detected ||| cheap |||| x-name is a cheap coffee shop in the middle of the city.
Detected ||| moderate |||| x-name is a family friendly restaurant located by the riverside. price ranges are moderate and it is rated 1 out of 5.
Non detected ||| less than £20 |||| x-name is a cheap family friendly restaurant offering x-vow-cuisine-food food.
Non detected ||| cheap |||| x-name, located in the city centre, near x-near, is a x-con-cuisine-foods style restaurant with low prices, high ratings, and family-friendly atmosphere.
Detected ||| £20-25 |||| located in riverside, x-name x-con-cuisine-food restaurant has a price range from £20-25 and a high customer rating.
Detected ||| more than £30 |||| located in the city centre, near x-near, x-name is a pub in the more than £30 price range.
Detected ||| less than £20 |||| want to pay less than £20, go to x-name, x-vow-cuisine-food food in the city center.
Non detected ||| less than £20 |||| there is restaurant x-name that offers food and drinks at low prices.
Non detected ||| moderate |||| x-name is a pub providing take-away deliveries to your family, such as tasty hamburgers. it is located in the city centre.
Non detected ||| £20-25 |||| x-name is a moderately priced restaurant in riverside.
Non detected ||| less than £20 |||| there is a cheap x-vow-cuisine-food restaurant named x-name near riverside.
Detected ||| cheap |||| there is a cheap, family friendly x-con-cuisine-food coffee shop called x-name. it has a customer rating of 5 out of 5.
Non detected ||| £20-25 |||| the x-con-cuisine-food restaurant x-name situated down the riverside is a kids friendly place with average price range.
Detected ||| cheap |||| x-name gets a 5 out of 5 customer rating. it serves x-vow-cuisine-food food at affordably cheap prices.
Non detected ||| high |||| x-name is a children friendly restaurant that serves expensive x-vow-cuisine-food food. its located in riverside near x-near.
Detected ||| £20-25 |||| x-name provides x-con-cuisine-food food in the £20-25 price range. its customer rating is high.
Detected ||| moderate |||| x-name is a pub serving x-vow-cuisine-food food situated near to x-near. it is moderately priced, but isn't kids friendly.
Detected ||| less than £20 |||| eat in x-name. x-con-cuisine-food food for less than £20 but has a low customer rating
